Person in charge,Authors,Year,Title,DOI or PMID,Language,"Country (e.g., where RCT was performed)",Included/exclude,Reason for exclusion,Reason for exclusion,Reason for exclusion (description),Data collection,Analysis,Species,Species information,"Count, n","Count, n control group","Count, n died in control group","Count, n excluded in control group","Count, n treatment group","Count, n died in treatment group","Count, n excluded in treatment group",Comment on counts,"Sex (n, ratio, percentage)",Sex,"Sex (%, male)","Age [days, months, years]",Age (mean),Age (SD),Age (min),Age (max),Age (units),Age (comment),"Weight [g, kg , pounds]",Weight (mean),Weight (SD),Weight (min),Weight (max),Weight (unit),Weight (comment),"Injury characteristics (level, severity)",Injury level,Injury severity,Injury mechanism,Injury mechanism (details),Duration of SCI,Drug(s),Drug name harmonized,MP used as main drug?,Dose (absolute dose or mg/kg),"Time (minutes pre-injury, minutes post-injury)",Treatmetn in first 24h?,Duration of treatment,"Timing (e.g., BID, PID)",Route,Route (comment when multiple),"What was assessed? (e.g., neurological,  functional recovery, spasticity, walking function, electrophysiology)",Name/type of asessement,Name of assessment harmonised,Details on assessement,Timing of assessement,Assessment on day 28 (yes/no),Was observer blinded?,Drug effect on functional assessment,Drug effect on functional assessment (details),"What was assessed? (e.g., histological measures, cavitity measures, ect )",Name/type of asessement,Timing of assessement,Was observer blinded?,Drug effect on neuroanatomical assessment,Drug effect on neuroanatomical assessment (details),Drugs given to treat infections/pain ect.,Conclusion of study,Limitations,Remarks/Comments,Combination of drugs tested,Contradictions present in the results
Catherine,Renno et al,2014,"(-)-Epigallocatechin-3-gallate (EGCG) modulates neurological function when intravenously infused in acute and, chronically injured spinal cord of adult rats",10.1016/j.neuropharm.2013.09.013,English,,excluded,Out of scope,No drug of interest,Out of scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Long et al,1994,1-Aminocyclopropanecarboxylic acid protects against dynorphin A-induced spinal injury.,10.1016/0014-2999(94)90120-1,English,,excluded,Out of scope,No drug of interest,Dynorphin-induced SCI; they did not examine the effects of dynorphin on recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Zhou et al,2014,17 beta-Estradiol Protects Human Eyelid-Derived Adipose Stem Cells against Cytotoxicity and Increases Transplanted Cell Survival in Spinal Cord injury,10.1111/jcmm.12191,English,,excluded,Out of scope,No drug of interest,Out of scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Wang et al,2014,ApoE mimetic ameliorates motor deficit and tissue damage in rat spinal cord injury,10.1002/jnr.23371,English,,excluded,Out of scope,No drug of interest,Out of scope (other drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Garcia-Lopez et al,1997,Oral paracetamol bioavailability in rats subjected to experimental spinal cord injury,10.1002/(SICI)1099-081X(199704)18:3<203::AID-BDD11>3.0.CO;2-F,English,,excluded,Out of scope,No assessments of interest,"Out of scope (bioavailability, no focus on function)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Durozard et al,2000,Metabolism of rat skeletal muscle after spinal cord transection,10.1002/1097-4598(200010)23:10<1561::AID-MUS13>3.0.CO;2-X,English,,excluded,Out of scope,No assessments of interest,Out of scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Brennan et al,2016,IVIg attenuates complement and improves spinal cord injury outcomes in mice,10.1002/acn3.318,English,,excluded,Out of scope,No drug of interest,Out of scope (no drug of interest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Maresh et al,2020,Buspirone decreases susceptibility to hypocapnic central sleep apnea in chronic SCI patients,10.1152/japplphysiol.00435.2020,English,,excluded,Out of scope,No assessments of interest,Out of scope: outcome is not neurological/functional --> hypocapnic central sleep apnea ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Lee et al,2012,17 beta-Estradiol Inhibits Apoptotic Cell Death of Oligodendrocytes by Inhibiting RhoA-JNK3 Activation after Spinal Cord Injury,10.1210/en.2012-1068,English,,excluded,Out of scope,No drug of interest,Oligodendrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Siriphorn et al,2010,17 beta-Estradiol protects Schwann cells against H2O2-induced cytotoxicity and increases transplanted Schwann cell survival in a cervical hemicontusion spinal cord injury model,10.1111/j.1471-4159.2010.06770.x,English,,excluded,Out of scope,No assessments of interest,Effect of estradiol on schwann cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
